profit factor = -0.0670594927869
winning days = 774
average win = 0.0291382829665
sharpe ratio = 9.66092458073
max consecutive wins = 35
cumulative return = 81695731.0179
max consecutive losses = 4
information ratio = 0.608581044656
total days = 944
average loss = -1.97831631014
max daily return = 0.243717722594
reference cumulative return = 0.27604165477134646
average daily return = 0.019486706308
win rate = 0.8199152542372882
max daily drawdown = -0.191209997944
average_t_stats = [43.21330426009547, 83.347187143808696, 4.9922791108517108, 50.315709187191572, 156.67458864506122]
daily return stdev = 0.03201990347733949
max drawdown = 0.191209997944
total transaction fee = 0
losing days = 170

Date	Gain%	Val	Ref_value	Daily_fee
2013-08-06	7.17377%	256373887.04501	11496453.86794	0.00000
2013-08-07	-2.33637%	250384038.13109	11456082.67600	0.00000
2013-08-08	1.86028%	255041894.47028	11436610.25169	0.00000
2013-08-09	7.35243%	273793678.90348	11429040.77935	0.00000
2013-08-12	2.85420%	281608309.31742	11489944.47060	0.00000
2013-08-13	-0.87915%	279132539.40358	11468034.93130	0.00000
2013-08-14	0.98340%	281877541.78916	11450017.10614	0.00000
2013-08-15	3.67491%	292236299.68116	11373012.09981	0.00000
2013-08-16	2.71015%	300156344.89098	11384652.51333	0.00000
2013-08-19	4.80148%	314568286.13070	11310217.16539	0.00000
2013-08-20	3.62139%	325960026.96642	11394851.62402	0.00000
2013-08-21	3.01695%	335794082.74460	11385529.16624	0.00000
2013-08-22	2.91075%	345568201.65776	11466237.23297	0.00000
2013-08-23	2.49941%	354205357.46950	11499006.31585	0.00000
2013-08-26	4.88750%	371517144.99769	11493861.59659	0.00000
2013-08-27	0.95627%	375069843.03907	11362707.84455	0.00000
2013-08-28	2.16784%	383200764.37114	11397543.92074	0.00000
2013-08-29	3.00058%	394699007.67462	11479222.72659	0.00000
2013-08-30	0.22810%	395599327.14872	11379037.40476	0.00000
2013-09-03	2.79704%	406664406.15950	11345859.96751	0.00000
2013-09-04	-0.88693%	403057578.85868	11422332.39837	0.00000
2013-09-05	4.58525%	421538775.75655	11469352.69643	0.00000
2013-09-06	17.48075%	495226931.92202	11450552.37029	0.00000
2013-09-09	2.60699%	508137449.38725	11543648.95193	0.00000
2013-09-10	0.26999%	509509378.05161	11574294.71029	0.00000
2013-09-11	9.46365%	557727579.58548	11591000.61991	0.00000
2013-09-12	-0.14067%	556943021.91430	11546558.61627	0.00000
2013-09-13	4.68064%	583011516.10136	11563370.59490	0.00000
2013-09-16	2.58465%	598080332.95625	11477360.49907	0.00000
2013-09-17	2.99217%	615975904.22048	11539812.98422	0.00000
2013-09-18	4.55488%	644032863.45259	11613394.54746	0.00000
2013-09-19	7.34924%	691364364.58367	11601197.16940	0.00000
2013-09-20	4.31701%	721210620.47631	11583282.11146	0.00000
2013-09-23	2.93280%	742362281.35159	11567461.35817	0.00000
2013-09-24	2.53525%	761183039.58146	11601251.78956	0.00000
2013-09-25	4.01938%	791777873.19748	11606064.02599	0.00000
2013-09-26	2.83548%	814228580.68249	11631735.90007	0.00000
2013-09-27	1.15550%	823636979.09361	11657090.56251	0.00000
2013-09-30	-1.27852%	813106583.65153	11733329.23883	0.00000
2013-10-01	1.27919%	823507750.42042	11844277.53820	0.00000
2013-10-02	0.68269%	829129779.70209	11877199.69097	0.00000
2013-10-03	1.62271%	842584156.12900	11814832.56176	0.00000
2013-10-04	4.71601%	882320488.77379	11912207.78412	0.00000
2013-10-07	4.60620%	922961938.91044	11906968.51768	0.00000
2013-10-08	24.37177%	1147904120.70273	11720927.24252	0.00000
2013-10-09	4.77300%	1202693584.10337	11657697.65208	0.00000
2013-10-10	2.85969%	1237086933.96023	11760110.85114	0.00000
2013-10-11	1.28830%	1253024326.89651	11888757.29797	0.00000
2013-10-14	2.77710%	1287822104.69345	12001979.45046	0.00000
2013-10-15	0.37370%	1292634701.71076	11962074.37556	0.00000
2013-10-16	0.94989%	1304913324.93189	12025098.79155	0.00000
2013-10-17	2.40810%	1336336897.37321	12150311.10536	0.00000
2013-10-18	3.86949%	1388046358.27862	12172823.95753	0.00000
2013-10-21	4.48237%	1450263684.88385	12155382.33607	0.00000
2013-10-22	6.32903%	1542051302.33982	12137406.23996	0.00000
2013-10-23	0.33888%	1547277048.25348	12137213.05249	0.00000
2013-10-24	1.18697%	1565642810.77789	12175765.35833	0.00000
2013-10-25	2.17237%	1599654322.22931	12123950.84982	0.00000
2013-10-28	2.53142%	1640148293.18408	12094672.62793	0.00000
2013-10-29	1.36140%	1662477349.04122	12123444.95849	0.00000
2013-10-30	-3.21567%	1609017518.27582	11992420.44012	0.00000
2013-10-31	-1.52844%	1584424680.65847	11946657.21430	0.00000
2013-11-01	0.57278%	1593499937.90250	11923002.59734	0.00000
2013-11-04	1.70744%	1620707987.51866	11977770.31420	0.00000
2013-11-05	-0.94078%	1605460618.59537	12002087.95941	0.00000
