win rate = 0.8199152542372882
max daily return = 0.24215860476855822
average win = 0.02945605963759371
losing days = 170
reference cumulative return = 0.27604165477134734
max daily drawdown = -0.19192199774717544
total days = 944
max consecutive wins = 35
daily return stdev = 0.032131409284304455
max consecutive losses = 4
average_t_stats = [43.216896604244482, 83.349095554065102, 4.9921935853569082, 50.316036771418318, 156.67021092934567]
cumulative return = 98136036.61165214
information ratio = 0.6126323319448571
average daily return = 0.01968474019851807
profit factor = -0.0678019920395554
average loss = -1.977990657595038
total transaction fee = 4007388343673.145
winning days = 774
max drawdown = 0.19192199774717544
sharpe ratio = 9.72523677266198

Date	Gain%	Val	Ref_value	Daily_fee
2014-01-17	-1.11%	3040056329	12707564	172816
2014-01-20	1.29%	3079141898	12707564	568842
2014-01-21	2.36%	3151706871	12719908	150793
2014-01-22	1.88%	3211052833	12762324	156487
2014-01-23	0.35%	3222322966	12720768	126737
2014-01-24	-1.46%	3175346985	12529976	103574
2014-01-27	2.39%	3251333988	12349834	143011
2014-01-28	1.07%	3286138478	12450892	143750
2014-01-29	1.90%	3348509567	12395564	148288
2014-01-30	5.55%	3534188803	12455962	124659
2014-01-31	0.98%	3568798454	12504727	131142
2014-02-03	0.85%	3599031094	12208791	174808
2014-02-04	3.20%	3714317092	12231028	169689
2014-02-05	0.35%	3727429451	12173372	148862
2014-02-06	-0.01%	3727231270	12217326	139293
2014-02-07	-0.20%	3719881149	12307218	160665
2014-02-10	0.20%	3727210655	12384346	145789
2014-02-11	3.55%	3859588668	12460689	212354
2014-02-12	7.21%	4137780754	12468018	210134
2014-02-13	4.86%	4338686304	12650446	174034
2014-02-14	-0.16%	4331747992	12660491	173597
2014-02-18	1.86%	4412140495	12744843	172289
2014-02-19	1.55%	4480543174	12675528	176545
2014-02-20	-3.60%	4319410049	12782203	201595
2014-02-21	-0.52%	4296822086	12766068	165801
2014-02-24	-0.82%	4261495493	12824858	201057
2014-02-25	2.12%	4351818123	12799246	161157
2014-02-26	3.41%	4500118727	12848217	178876
2014-02-27	-1.91%	4414220708	12949382	221885
2014-02-28	-1.04%	4368352170	12887516	192201
2014-03-03	3.44%	4518528278	12951723	200918
2014-03-04	0.50%	4540935882	13086382	179833
2014-03-05	2.42%	4650887752	13127779	218339
2014-03-06	-1.00%	4604314608	13100915	195798
2014-03-07	-0.13%	4598292144	13059280	204374
2014-03-10	-0.70%	4566116677	13083249	184609
2014-03-11	3.56%	4728847028	12962821	189458
2014-03-12	4.41%	4937433222	13038129	279546
2014-03-13	2.06%	5039298999	12857939	227662
2014-03-14	1.84%	5132272929	12903688	217939
2014-03-17	0.70%	5168028552	12900545	239492
2014-03-18	4.94%	5423360960	13034925	236750
2014-03-19	2.68%	5568579791	12985990	236103
2014-03-20	1.76%	5666842112	13033518	276157
2014-03-21	3.45%	5862262840	12933559	289937
2014-03-24	3.90%	6091114016	12741229	330801
2014-03-25	1.07%	6156131743	12687578	264236
2014-03-26	-1.72%	6050468365	12430667	294413
2014-03-27	0.66%	6090461704	12379792	299346
2014-03-28	2.19%	6223566399	12342040	251867
2014-03-31	-4.36%	5952015230	12447934	329842
2014-04-01	0.78%	5998500872	12566241	251511
2014-04-02	2.10%	6124420855	12587879	207767
2014-04-03	1.85%	6237781094	12477160	337351
2014-04-04	4.21%	6500258158	12176620	287353
2014-04-07	-0.52%	6466208031	12053151	379071
2014-04-08	2.05%	6599004582	12114454	293913
2014-04-09	1.75%	6714183097	12235001	312403
2014-04-10	2.34%	6871528267	11960837	286722
2014-04-11	2.78%	7062622329	11894773	350069
2014-04-14	2.13%	7213129695	11771841	281124
2014-04-15	2.30%	7378747234	11706425	303711
2014-04-16	2.22%	7542863056	11752022	287648
2014-04-17	5.93%	7989807344	11836144	320287
2014-04-21	4.85%	8377671385	11891015	419901
2014-04-22	2.42%	8580421882	12012244	339676
2014-04-23	1.83%	8737564229	11940594	392485
2014-04-24	0.80%	8807881462	11868247	290905
2014-04-25	-3.26%	8520656795	11713352	364615
2014-04-28	-0.39%	8487652594	11607009	484303
2014-04-29	-0.58%	8438716616	11602050	329258
2014-04-30	2.75%	8671165979	11659862	333577
2014-05-01	0.91%	8749966463	11673740	770191
2014-05-02	-1.23%	8642215222	11656004	350780
2014-05-05	2.31%	8841700662	11709462	381298
2014-05-06	1.31%	8957285867	11584097	450332
2014-05-07	-0.33%	8927722836	11500052	488996
2014-05-08	-0.48%	8885049609	11407311	361965
2014-05-09	4.34%	9271077414	11512816	474605
2014-05-12	2.40%	9493217939	11677963	441371
2014-05-13	2.85%	9763884279	11620650	466902
2014-05-14	1.16%	9877572985	11521313	489460
2014-05-15	1.92%	10067543987	11481574	448506
2014-05-16	0.41%	10108664471	11513043	523176
2014-05-19	1.55%	10265457908	11627913	508415
2014-05-20	2.48%	10520172639	11541963	440765
2014-05-21	2.28%	10759631233	11548959	449793
2014-05-22	1.29%	10897973395	11618337	460595
2014-05-23	6.25%	11579110080	11710406	565278
2014-05-26	-0.10%	11567505973	11710406	533592
2014-05-27	0.21%	11592260704	11783965	596580
2014-05-28	0.29%	11625774148	11774564	618183
2014-05-29	-1.17%	11490063469	11794868	585962
2014-05-30	6.73%	12262985335	11739727	564293
2014-06-02	3.65%	12710224887	11670178	514098
2014-06-03	2.61%	13042234183	11661022	506608
2014-06-04	2.29%	13340320651	11717214	703674
2014-06-05	0.52%	13409400227	11860269	614069
2014-06-06	-0.50%	13342599913	11913075	599182
2014-06-09	0.86%	13456859066	12011216	543225
2014-06-10	-2.85%	13073494380	12042676	720361
2014-06-11	1.18%	13227398809	12077450	576897
2014-06-12	2.29%	13529965241	12043241	761376
2014-06-13	4.43%	14129547394	12035500	672229
2014-06-16	4.42%	14753995603	12087637	610200
2014-06-17	1.35%	14952657600	12189811	628254
2014-06-18	-0.05%	14945300565	12243752	647279
2014-06-19	0.99%	15093206904	12214779	571149
2014-06-20	2.01%	15396452559	12221037	627105
2014-06-23	18.14%	18189839141	12195948	1026239
2014-06-24	0.64%	18306187764	12114156	662228
2014-06-25	1.65%	18607485946	12201888	947113
2014-06-26	2.02%	18983015454	12207494	732208
2014-06-27	0.87%	19147470142	12320190	627733
2014-06-30	2.58%	19641848168	12373575	837192
2014-07-01	2.39%	20112171055	12459397	897373
2014-07-02	0.57%	20227181462	12464941	934766
2014-07-03	-0.77%	20072324040	12498531	1000208
2014-07-07	1.90%	20453701920	12346666	940622
2014-07-08	2.06%	20875308863	12183367	970986
2014-07-09	2.94%	21489727614	12178949	977695
2014-07-10	2.39%	22003788684	12244883	908135
2014-07-11	2.09%	22463734645	12272541	852614
2014-07-14	1.35%	22766153802	12251158	993059
2014-07-15	3.25%	23505220998	12135207	1102351
2014-07-16	0.45%	23610588950	12061743	1204407
2014-07-17	0.82%	23804753153	11943178	835824
2014-07-18	1.88%	24253308078	12095982	1212215
2014-07-21	1.16%	24533869529	12119429	1077684
2014-07-22	0.17%	24575677819	12146282	1290058
2014-07-23	1.64%	24977735493	12140552	1028388
2014-07-24	2.22%	25532541502	12115930	946009
2014-07-25	1.87%	26008937300	12104897	1366673
2014-07-28	1.43%	26381836140	12045841	1137733
2014-07-29	-4.98%	25067567593	12050293	1071171
2014-07-30	0.91%	25294905697	12041775	1054382
2014-07-31	-1.40%	24939687251	11927887	1017081
2014-08-01	1.15%	25226325271	11856398	926619
2014-08-04	3.88%	26205296556	11877569	1213863
2014-08-05	2.62%	26892536841	11898490	1075939
2014-08-06	3.09%	27723090754	11981122	1170425
2014-08-07	0.49%	27858092258	11900523	966958
2014-08-08	3.03%	28702197663	11994584	1116003
2014-08-11	2.91%	29537677543	12050474	1158878
2014-08-12	4.49%	30863660941	12001442	1262782
2014-08-13	2.69%	31694015469	12049411	1472204
2014-08-14	1.82%	32270285899	12073440	1264194
2014-08-15	2.14%	32960484111	11987833	1473339
2014-08-18	-0.76%	32708941159	12033039	1536531
2014-08-19	2.37%	33483199363	12050379	1533795
2014-08-20	3.24%	34567987367	12037298	1757430
2014-08-21	2.00%	35258379815	12050597	1542596
2014-08-22	0.82%	35546862453	12080938	1610358
2014-08-25	-0.88%	35233158422	12079727	1913703
2014-08-26	0.94%	35565828454	12136683	1574492
2014-08-27	1.27%	36018048292	12123705	1631237
2014-08-28	2.28%	36838761952	12117561	1440667
2014-08-29	5.36%	38813474562	12175995	1772326
2014-09-02	-2.48%	37850485370	12203331	1945889
2014-09-03	1.83%	38543202155	12120822	1404388
2014-09-04	7.44%	41411019883	12064316	1685924
2014-09-05	3.78%	42975195306	12106604	1940737
2014-09-08	-0.14%	42913696698	12177941	2425452
2014-09-09	-3.41%	41450193084	12098116	2286455
2014-09-10	0.07%	41477911748	12153333	2071241
2014-09-11	1.98%	42298870774	12226256	1953390
2014-09-12	3.55%	43799191920	12172922	2198865
2014-09-15	1.81%	44592254680	12030460	2221284
2014-09-16	5.53%	47059886186	12065573	2118171
2014-09-17	5.57%	49682689610	12094932	2387772
2014-09-18	4.22%	51776898817	12079505	2449466
2014-09-19	-1.38%	51060058952	11971388	2770774
2014-09-22	0.96%	51548567588	11858828	3260222
2014-09-23	5.83%	54555870446	11821545	2721743
2014-09-24	3.60%	56520847232	11882493	2493596
2014-09-25	0.56%	56835763524	11770202	3064161
2014-09-26	1.73%	57821726400	11834058	2955976
2014-09-29	1.57%	58731528657	11918814	2753638
2014-09-30	0.10%	58790397005	11838006	3164907
2014-10-01	-0.14%	58706861306	11680719	2979007
2014-10-02	2.51%	60181231855	11768729	2791030
2014-10-03	0.11%	60247271398	11778724	2370928
2014-10-06	-7.36%	55813495672	11658320	3184911
2014-10-07	0.65%	56176365597	11551157	2556402
2014-10-08	1.39%	56959475708	11674180	2826347
2014-10-09	2.02%	58112322815	11459453	3047114
2014-10-10	2.73%	59697584444	11359861	2289601
2014-10-13	3.66%	61881748511	11299313	2930642
2014-10-14	0.12%	61952948050	11285525	3312717
2014-10-15	6.13%	65750571964	11474041	3962538
2014-10-16	3.09%	67781975048	11768879	3254619
2014-10-17	3.15%	69918770539	11654052	3337838
2014-10-20	1.37%	70878733816	11764382	3158533
2014-10-21	3.47%	73339758549	11857364	3050132
2014-10-22	3.78%	76115143448	11725370	2747574
2014-10-23	2.14%	77742659015	11771251	2990744
2014-10-24	3.26%	80278915373	11794435	3370478
2014-10-27	-0.43%	79935259709	11817764	4951259
2014-10-28	7.65%	86049628444	12000592	3310765
2014-10-29	-0.72%	85428498134	11987915	3717630
2014-10-30	0.50%	85857936077	12088499	3084034
2014-10-31	0.47%	86259221154	12070670	3052957
2014-11-03	13.96%	98303140828	12050648	8303787
2014-11-04	0.34%	98635198850	12049699	3812615
2014-11-05	0.02%	98655108672	11992526	3557680
2014-11-06	1.11%	99745295919	12029769	5255768
2014-11-07	-2.19%	97558605060	12046271	4575200
2014-11-10	0.80%	98343393778	12090212	4013094
2014-11-11	1.65%	99969457216	12097725	6732420
2014-11-12	1.90%	101868163071	12193313	5343720
2014-11-13	2.44%	104353762945	12104430	6326693
2014-11-14	4.54%	109092963900	12112125	7805731
2014-11-17	2.21%	111499931860	12050511	7400908
2014-11-18	3.37%	115259411795	12084627	6312464
2014-11-19	3.40%	119175265166	12002113	8863507
2014-11-20	2.01%	121575258368	12117913	6447768
2014-11-21	2.77%	124939317427	12029060	8534091
2014-11-24	1.81%	127202664256	12105866	7079823
2014-11-25	0.66%	128044361103	12088771	7178019
2014-11-26	2.03%	130638969128	12144670	6654492
2014-11-28	-1.62%	128516099787	12032648	11053224
2014-12-01	3.98%	133626542686	11855650	13588301
2014-12-02	0.98%	134932244283	11936271	6750033
2014-12-03	3.53%	139689745793	11999677	11580739
2014-12-04	2.50%	143186739184	11964068	7237727
2014-12-05	2.87%	147299933018	12033503	10464606
2014-12-08	1.52%	149546105730	11911729	10066485
2014-12-09	0.53%	150332809077	12147743	10075070
2014-12-10	3.43%	155482105581	11975015	10787025
2014-12-11	1.11%	157202252263	11979285	7960613
2014-12-12	8.04%	169844995176	11985359	6999242
2014-12-15	2.24%	173647203418	11817096	12668142
2014-12-16	6.48%	184896340309	11829075	13142931
2014-12-17	0.91%	186585294482	12052211	10319300
2014-12-18	5.52%	196879836405	12100812	13243983
2014-12-19	2.94%	202667473365	12148327	10688403
2014-12-22	0.33%	203327931242	12191389	11304806
2014-12-23	3.55%	210550126731	12149263	9439699
2014-12-24	2.63%	216088979069	12186831	10366201
2014-12-26	1.92%	220246443502	12234692	12723243
2014-12-29	1.32%	223161476249	12248357	14702179
2014-12-30	-12.19%	195965179881	12259736	11563086
2014-12-31	1.97%	199821013251	12274117	10178402
2015-01-02	2.46%	204746234126	12234581	10498122
2015-01-05	1.99%	208811506249	12168829	11190295
2015-01-06	7.05%	223524244330	11998426	9587278
2015-01-07	0.81%	225333465578	12044104	11844753
2015-01-08	3.61%	233461704343	12120621	14426006
2015-01-09	-0.08%	233266539929	12074070	10870804
2015-01-12	1.99%	237917639234	12019608	10161809
2015-01-13	4.93%	249649727794	11922551	15776503
2015-01-14	1.47%	253308683640	11967058	12194663
2015-01-15	0.11%	253596765089	11767446	10219669
2015-01-16	2.87%	260867918414	11936785	13049955
2015-01-20	2.70%	267907268143	11874414	13968691
2015-01-21	5.14%	281678307660	11836190	13871389
2015-01-22	1.79%	286733664466	11924373	12313246
2015-01-23	0.66%	288627905769	11928967	12943386
2015-01-26	5.06%	303231304578	12025836	14062698
2015-01-27	0.23%	303917457772	12083870	12131688
2015-01-28	4.33%	317084484602	11894761	14208463
2015-01-29	1.58%	322109805527	11979276	29802072
2015-01-30	-0.86%	319327377216	11896659	12340389
2015-02-02	3.18%	329474887402	11934520	20304486
2015-02-03	1.46%	334270392920	12037941	14895426
2015-02-04	0.97%	337504868222	12032117	22180328
2015-02-05	1.93%	344012268462	12142886	15704448
2015-02-06	-0.04%	343875454231	12123323	19252467
2015-02-09	1.88%	350349639337	12103833	15181427
2015-02-10	2.70%	359816421198	12092262	19812838
2015-02-11	2.57%	369056549961	12094719	18997219
2015-02-12	0.98%	372685111063	12144242	18692222
2015-02-13	0.08%	372970662338	12197000	21721617
2015-02-17	-4.00%	358064130445	12237746	25406037
2015-02-18	-4.72%	341150015911	12286089	16388220
2015-02-19	4.00%	354802362759	12324946	18079709
2015-02-20	-0.54%	352894826985	12324098	19792829
2015-02-23	3.51%	365289778346	12318888	21474281
2015-02-24	2.36%	373927395300	12337712	28572593
