Date,int,prc,mom,hlv,vol,R^2,s_size
2013-12-12,-0.00386096,0.00069949,-0.02081194,0.00021642,-0.00039577,0.01504095,2000
2013-12-13,0.00074959,0.00034459,-0.02557784,0.00220450,0.00007455,0.02603062,2000
2013-12-16,0.00295317,0.00014261,0.02013793,0.00268527,0.00040574,0.02114660,2000
2013-12-17,-0.00033070,-0.00000716,-0.07096283,0.00094285,-0.00012932,0.00458123,2000
2013-12-18,-0.00120417,0.00058388,-0.03452141,0.00070781,0.00048527,0.01593343,2000
2013-12-19,-0.00578872,0.00092131,-0.00559980,-0.00054686,-0.00030930,0.01133452,2000
2013-12-20,0.00092170,-0.00014359,0.00460774,0.00176421,0.00033596,0.00397458,2000
2013-12-23,0.01008222,-0.00169747,-0.08670456,0.00080249,-0.00019513,0.00419083,2000
2013-12-24,-0.00205077,0.00060357,-0.00540407,0.00061278,-0.00012060,0.01089769,2000
2013-12-25,0.00367516,-0.00462170,-0.00003971,0.00922742,0.00335456,1.00000000,4
2013-12-26,0.00094675,0.00017233,0.02911095,0.00211350,0.00037014,0.02575832,2000
2013-12-27,-0.00178374,0.00078967,-0.03852144,0.00236748,0.00035912,0.03169733,2000
2013-12-30,0.00020441,-0.00019422,0.01049118,-0.00069259,0.00005170,0.00391269,2000
2013-12-31,-0.00004264,0.00034978,0.01410966,0.00038410,0.00000629,0.00629150,2000
2014-01-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4
2014-01-02,-0.00044406,-0.00077504,-0.01763355,0.00138239,0.00006068,0.01586344,2000
2014-01-03,0.00275715,-0.00046659,0.00509567,0.00145300,0.00036075,0.02471579,2000
2014-01-06,0.00041359,0.00052136,0.05667441,0.00195144,0.00041731,0.01762576,2000
2014-01-07,0.00495504,-0.00060803,-0.01084912,0.00001842,0.00019824,0.00520742,2000
2014-01-08,0.00069345,-0.00047889,-0.01841248,-0.00158702,-0.00010864,0.00243206,2000
2014-01-09,0.00568794,-0.00129789,0.01774240,0.00557040,-0.00013257,0.00613251,2000
2014-01-10,0.00292555,-0.00033759,-0.00816527,-0.00024760,0.00033131,0.00425931,2000
2014-01-13,-0.00107766,-0.00013330,-0.02851579,0.00106678,0.00010221,0.00315187,2000
2014-01-14,0.00051822,0.00034254,-0.07838679,0.00116859,0.00013753,0.03282970,2000
2014-01-15,0.00113828,-0.00000501,0.01138302,0.00123599,0.00027680,0.01270486,2000
2014-01-16,0.00312735,-0.00155872,0.10465686,-0.00184849,0.00007439,0.01146195,2000
2014-01-17,0.00037456,-0.00014974,-0.00399762,-0.00027353,0.00033767,0.00321225,2000
2014-01-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4
2014-01-21,0.00639369,-0.00043179,-0.06803069,0.00023959,0.00033196,0.00399675,2000
2014-01-22,0.01493951,-0.00425159,-0.01594689,0.00083960,-0.00133692,0.00713868,2000
2014-01-23,0.00111942,-0.00130286,-0.11261704,-0.00225790,-0.00056113,0.05263338,2000
2014-01-24,-0.00247258,-0.00088317,0.05104271,-0.00176150,-0.00058152,0.04477838,2000
2014-01-27,-0.00088865,0.00044203,-0.05471870,-0.00122572,-0.00073421,0.00540122,2000
2014-01-28,0.00253926,-0.00024168,-0.02448385,0.00076782,0.00069643,0.01817743,2000
2014-01-29,-0.00416230,-0.00077528,-0.02759203,-0.00279972,-0.00060939,0.02984278,2000
2014-01-30,0.00035922,0.00170789,-0.05828414,0.00270005,0.00053074,0.03101467,2000
2014-01-31,-0.00877711,-0.00064856,0.01324109,-0.00627429,-0.00040314,0.07388915,2000
2014-02-03,0.00089237,-0.00049317,-0.04201053,0.00072244,0.00014793,0.00154296,2000
2014-02-04,0.00243214,0.00016753,-0.04558824,0.00110781,0.00065385,0.03068218,2000
2014-02-05,-0.00052950,-0.00061443,-0.01421673,-0.00088224,-0.00015253,0.00564183,2000
2014-02-06,0.00272552,-0.00005485,-0.01767743,0.00125266,-0.00005801,0.00369916,2000
2014-02-07,0.00448506,-0.00019124,0.00124747,0.00213652,0.00026153,0.01392635,2000
